,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"PROGRAM: STU_MVT4
MUKASURAT: 1/1",,,,,,,,,,"TARIKH: 30/05/2024
MASA: 11:34 AM ",,,,,,,,,,
,,,,Module Offering,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Module Code,Module Name,,,,Occurrence,MAV Name,,,Academic Year,,Period Slot,,,Target,Activity,Weeks,Day / Start Duration ,Tutor,Location,Room
,,,,,,3,MALAY LANGUAGE AND CULTURE.  (THIS COURSE IS ONLY OFFERED TO STUDENTS WHO HAVE KNOWLEDGE IN MALAY).,,,2023,,S2,,,30,ONL,,"TUESDAY
10:00 - 12:00 (02:00)",MADAM NAZURAH IZZATI BINTI HAJI YAZID,UMKL,
,,,,,,4,MALAY LANGUAGE AND CULTURE (THIS COURSE IS ONLY OFFERED TO STUDENTS WHO HAVE KNOWLEDGE IN MALAY),,,2023,,S2,,,30,ONL,,"THURSDAY
10:00 - 12:00 (02:00)",MADAM NAZURAH IZZATI BINTI HAJI YAZID,UMKL,
,GBT0043,COMMUNICATION AND NEGOTIATION IN MALAY LANGUAGE,,,,1,COMMUNICATION AND NEGOTIATION IN MALAY LANGUAGE. (THIS COURSE IS ONLY OFFERED TO STUDENTS WHO HAVE KNOWLEDGE IN MALAY).,,,2023,,S2,,,30,ONL,,"THURSDAY
14:00 - 16:00 (02:00)",MADAM NUR AFIFAH BINTI ABDUL RAHMAN HALAWA,UMKL,
,GBV0036,"COMMUNITY HEALTH, WELLNESS AND FITNESS",,,,1,"COMMUNITY HEALTH, WELLNESS AND FITNESS",,,2023,,S2,,,30,ONL,,"THURSDAY
13:00 - 15:00 (02:00)",MISS YUHANIS BINTI ADNAN,UMKL,
,,,,,,2,"COMMUNITY HEALTH, WELLNESS AND FITNESS",,,2023,,S2,,,30,ONL,,"WEDNESDAY
10:00 - 12:00 (02:00)",ASSOCIATE PROF. DR. VICTOR SELVARAJAH A/L SELVANAYAGAM,UMKL,
,GBX0009,"INFORMATION SEEKING, WRITING, AND ACADEMIC PUBLICATIONS",,,,1,"INFORMATION SEEKING, WRITING, AND ACADEMIC PUBLICATIONS",,,2023,,S2,,,50,ONL,,"MONDAY
10:00 - 11:00 (01:00)",MR. AZRIZAL BIN ISMAIL,UMKL,
,,,,,,2,"INFORMATION SEEKING, WRITING, AND ACADEMIC PUBLICATIONS",,,2023,,S2,,,50,ONL,,"TUESDAY
10:00 - 11:00 (01:00)",MADAM NORISHAH BINTI ABDUL RAHMAN,UMKL,
,,,,,,3,"INFORMATION SEEKING, WRITING, AND ACADEMIC PUBLICATIONS",,,2023,,S2,,,51,ONL,,"WEDNESDAY
10:00 - 11:00 (01:00)",MADAM ANNUR THAHIRAH BINTI ABD. HADI,UMKL,
,,,,,,4,"INFORMATION SEEKING, WRITING, AND ACADEMIC PUBLICATIONS",,,2023,,S2,,,50,ONL,,"THURSDAY
10:00 - 11:00 (01:00)",MADAM NORASLINDA BINTI SANUSI,UMKL,
,GBX0010,INTRODUCTION TO SOCIAL ENTREPRENEURSHIP,,,,1,INTRODUCTION TO SOCIAL ENTREPRENEURSHIP,,,2023,,S2,,,60,ONL,,"TUESDAY
10:00 - 12:00 (02:00)",DR. PONMALAR A/P N ALAGAPPAR,UMKL,
,GBX0011,STEM EDUCATION MANAGEMENT,,,,1,STEM EDUCATION MANAGEMENT,,,2023,,S2,,,40,ONL,,"THURSDAY
14:00 - 16:00 (02:00)",ASSOCIATE PROF. DR. WONG SENG YUE,UMKL,
,,,,,,1S,STEM EDUCATION MANAGEMENT,,,2023,,S2,,,10,ONL,,"THURSDAY
14:00 - 16:00 (02:00)",ASSOCIATE PROF. DR. WONG SENG YUE,UMKL,
,GBX0047,MEDIA  AND CULTURE,,,,1,MEDIA  AND CULTURE,,,2023,,S2,,,70,ONL,,"MONDAY
10:00 - 12:00 (02:00)",MADAM HARNANI BINTI MOHAMED,UMKL,
,GBX0058,POLITICAL CHATTING,,,,1,POLITICAL CHATTING,,,2023,,S2,,,50,LEC,,"TUESDAY
10:00 - 12:00 (02:00)",DR. MUHAMMAD SHAMSHINOR BIN ABDUL AZZIS,UMKL,
,GBX0060,SUSTAINABILITY THROUGH ENTREPRENEURSHIP,,,,1,SUSTAINABILITY THROUGH ENTREPRENEURSHIP,,,2023,,S2,,,50,ONL,,"TUESDAY
09:00 - 11:00 (02:00)",DR. IRENE YONG SEOK CHING,UMKL,
